Tiempo (s),Partícula,Energía (MeV),Número de Partículas
8.48272,neutron,5,100
10.0978,neutron,5,1000
25.6561,neutron,5,10000
182.696,neutron,5,100000
8.47231,e-,5,100
9.08371,e-,5,1000
16.4071,e-,5,10000
88.448,e-,5,100000
8.43094,proton,5,100
9.78781,proton,5,1000
23.7725,proton,5,10000
159.679,proton,5,100000
8.26118,gamma,5,100
8.3462,gamma,5,1000
9.39899,gamma,5,10000
18.1342,gamma,5,100000
8.53419,neutron,50,100
11.0507,neutron,50,1000
35.423,neutron,50,10000
273.17,neutron,50,100000
9.69901,neutron,500,100
21.6586,neutron,500,1000
143.585,neutron,500,10000
1386.36,neutron,500,100000
19.2543,neutron,5000,100
112.84,neutron,5000,1000
1057.38,neutron,5000,10000
10269,neutron,5000,100000
